"Job Reference","Job Title","Department","Location","Employment Type","Experience Level","Salary Range","Job Description","Key Responsibilities","Required Skills","Posted Date","Application Deadline","Is Active"
"NC-ENG-1001","Frontend Engineer - React","Engineering","Bengaluru","Full-time","Mid","INR 18,00,000 - 26,00,000","Join the NovaCorp web platform team to build the customer-facing applications used by more than four hundred enterprise accounts every day. You will work in a squad with a product manager, a designer and four other engineers, owning features from design review through to production. The stack is React, TypeScript, Vite and a component library built on our internal design system, backed by GraphQL services.","Build and ship accessible, responsive React interfaces; contribute reusable components to the NovaCorp design system; write unit and end-to-end tests; take part in code review and design critique; support your squad features in production and participate in the weekly on-call rotation.","React; TypeScript; JavaScript ES2022; HTML5; CSS3; Redux Toolkit or TanStack Query; REST and GraphQL APIs; Jest and React Testing Library; Git; WCAG accessibility basics.","07/06/2026","10/31/2026","Yes"
"NC-ENG-1002","Senior Backend Engineer - .NET","Engineering","Bengaluru","Full-time","Senior","INR 28,00,000 - 40,00,000","The platform services team is looking for a senior backend engineer to design and scale the microservices behind the NovaCorp billing and entitlements domain. These services handle several million transactions a day and must remain correct under load, so you will spend as much time on design and observability as on code.","Design and build .NET microservices on Azure; own service reliability, latency and cost; lead technical design reviews; mentor two to three engineers; drive incident reviews and follow-up actions; work with Product on quarterly roadmap scoping.","C# and .NET 8; ASP.NET Core; Azure App Service and Azure Functions; SQL Server; Redis; message queues; Docker; Kubernetes; distributed system design; observability with OpenTelemetry.","07/02/2026","10/24/2026","Yes"
"NC-ENG-1003","Cloud Infrastructure Engineer","Engineering","Hyderabad","Full-time","Mid","INR 22,00,000 - 32,00,000","NovaCorp runs its production workloads on Azure across three regions. The infrastructure team keeps that estate secure, repeatable and affordable. You will build the Terraform modules and pipelines other engineering teams use to ship, and take part in improving our disaster recovery posture.","Write and maintain Terraform modules for shared infrastructure; build and support Azure DevOps pipelines; manage AKS clusters; implement network and identity controls; track and reduce cloud spend; take part in the platform on-call rotation.","Azure; Terraform; Kubernetes and AKS; Azure DevOps or GitHub Actions; Bash and PowerShell; Linux administration; networking fundamentals; Azure Entra ID; cost management.","06/26/2026","10/17/2026","Yes"
"NC-ENG-1004","Site Reliability Engineer","Engineering","Remote - India","Full-time","Senior","INR 26,00,000 - 38,00,000","This is a fully remote role on the reliability team, open to candidates anywhere in India. You will own the service level objectives for the NovaCorp core platform, run the incident process, and work with product engineering teams to make their services measurably more reliable rather than simply responding when they break.","Define and track SLOs and error budgets; own the incident management process and lead blameless reviews; build monitoring, alerting and runbooks; drive chaos and load testing; reduce alert noise and toil across teams.","Kubernetes; Prometheus and Grafana; Azure Monitor; Python or Go; incident command experience; Terraform; strong Linux troubleshooting; capacity planning.","07/10/2026","11/07/2026","Yes"
"NC-ENG-1005","Android Engineer","Engineering","Pune","Full-time","Mid","INR 20,00,000 - 29,00,000","The mobile team builds the NovaCorp Android application used by field teams at our customer sites, often on low bandwidth connections. Offline-first behaviour and battery efficiency matter more here than on most consumer apps, and you will work closely with Design on interaction patterns that survive poor connectivity.","Build features in Kotlin and Jetpack Compose; implement offline sync and conflict resolution; profile and improve app performance; write instrumentation tests; manage Play Store releases with the release manager.","Kotlin; Jetpack Compose; Android SDK; Coroutines and Flow; Room; Retrofit; dependency injection with Hilt; unit and UI testing; Play Console release process.","06/19/2026","10/10/2026","Yes"
"NC-ENG-1006","Graduate Software Engineer","Engineering","Bengaluru","Full-time","Entry","INR 9,00,000 - 13,00,000","Our graduate programme takes engineers straight from university into a product squad with structured support. You spend your first six weeks in the NovaCorp engineering academy learning our stack, tooling and ways of working, then join a team with a dedicated mentor and a ramp-up plan reviewed every fortnight.","Complete the engineering academy programme; ship small features under mentorship; write tests for the code you deliver; take part in code review; present your first quarter project at the engineering showcase.","Computer science fundamentals; one of Java, C# or Python; SQL basics; Git; willingness to learn cloud and web technologies; strong written communication.","07/17/2026","09/30/2026","Yes"
"NC-ENG-1007","QA Automation Engineer","Engineering","Chennai","Full-time","Mid","INR 16,00,000 - 24,00,000","Quality engineering at NovaCorp is embedded rather than a separate gate. You will sit inside a product squad, build the automated coverage that lets that squad ship daily with confidence, and coach the engineers around you on writing testable code.","Build and maintain end-to-end test suites; integrate automated tests into CI pipelines; own regression coverage for your squad; investigate flaky tests; report quality metrics to the engineering leadership review.","Playwright or Cypress; TypeScript or Python; API testing with Postman or REST Assured; CI/CD pipelines; test strategy and risk-based testing; defect triage; basic performance testing.","06/12/2026","10/03/2026","Yes"
"NC-DAT-2001","Senior Data Engineer","Data and Analytics","Bengaluru","Full-time","Senior","INR 27,00,000 - 38,00,000","The data platform team is hiring a senior data engineer to own the ingestion and transformation layer of the NovaCorp lakehouse. You will design pipelines that move event, transactional and third-party data into a modelled warehouse that analysts and machine learning engineers depend on every day.","Design and build batch and streaming pipelines; model data in the warehouse; own data quality checks and freshness SLAs; mentor two data engineers; partner with Engineering on event instrumentation standards; manage platform cost.","Python; SQL; Azure Data Factory or Databricks; Spark; dbt; Delta Lake or similar lakehouse format; data modelling; Kafka or Event Hubs; orchestration with Airflow; CI/CD for data.","07/13/2026","11/14/2026","Yes"
"NC-DAT-2002","Data Engineer","Data and Analytics","Remote - India","Full-time","Mid","INR 18,00,000 - 27,00,000","A fully remote data engineering role for someone who wants to work across the whole pipeline rather than a narrow slice. You will build and maintain the pipelines feeding our reporting and experimentation layer, working alongside analysts who will tell you very quickly when something looks wrong.","Build and maintain ELT pipelines; write and review dbt models; add tests and monitoring to data assets; support analysts with data access and documentation; take part in the data platform on-call rotation.","SQL; Python; dbt; Spark or Databricks; Azure Data Factory; Git; data warehouse concepts; dimensional modelling; pipeline orchestration.","07/20/2026","11/21/2026","Yes"
"NC-DAT-2003","Business Intelligence Analyst","Data and Analytics","Mumbai","Full-time","Mid","INR 15,00,000 - 22,00,000","Sit with the commercial finance and sales operations teams and turn NovaCorp data into the reporting those teams run the business on. This role suits an analyst who enjoys stakeholder work as much as query writing, and who wants their dashboards actually used in decision meetings.","Build and maintain Power BI semantic models and reports; gather reporting requirements from business stakeholders; define and document metrics; run monthly reporting reviews; improve report performance and adoption.","Power BI; DAX; SQL; data modelling; Excel; stakeholder communication; Power Query; basic Python for analysis.","06/29/2026","10/20/2026","Yes"
"NC-DAT-2004","Machine Learning Engineer","Data and Analytics","Bengaluru","Full-time","Senior","INR 30,00,000 - 44,00,000","NovaCorp is putting machine learning into the products themselves, starting with demand forecasting and anomaly detection for our operations customers. You will take models from notebook to production service and own how they behave once real traffic reaches them.","Build and deploy production ML services; own feature engineering and the feature store; set up model monitoring and retraining; work with Product on model evaluation criteria; document model behaviour and limitations.","Python; PyTorch or TensorFlow; scikit-learn; MLflow; Azure Machine Learning; Docker; SQL; feature engineering; model monitoring; MLOps practices.","07/08/2026","11/03/2026","Yes"
"NC-PRD-3001","Product Manager - Platform","Product","Bengaluru","Full-time","Senior","INR 30,00,000 - 42,00,000","Own the NovaCorp platform product area, covering identity, entitlements and the developer-facing APIs our customers integrate with. This is an internal-platform product role, so your stakeholders are engineering teams and integration partners as much as end users.","Own the platform roadmap and quarterly outcomes; run discovery with integration partners; write clear problem statements and success measures; prioritise with Engineering leads; present at the monthly product review.","Product management experience in B2B SaaS; API and platform product knowledge; discovery and user research; roadmap prioritisation; SQL for self-service analysis; strong written communication; stakeholder management.","07/04/2026","10/28/2026","Yes"
"NC-PRD-3002","Associate Product Manager","Product","Gurugram","Full-time","Entry","INR 12,00,000 - 18,00,000","The associate product manager programme is designed for people early in their product career, including those moving across from engineering, design, analytics or customer-facing roles. You join a squad with a senior product manager as your coach and own a real slice of the roadmap from month three.","Support discovery interviews and synthesis; write user stories and acceptance criteria; keep the squad backlog healthy; track feature adoption after launch; produce the squad monthly update.","Structured problem solving; clear writing; curiosity about customers; basic SQL or willingness to learn; comfort with ambiguity; collaboration across functions.","07/22/2026","09/26/2026","Yes"
"NC-DSN-4001","Senior Product Designer","Design","Remote - India","Full-time","Senior","INR 24,00,000 - 34,00,000","A remote senior design role owning the end-to-end experience for one of the three NovaCorp product areas. You will work in a squad with a product manager and engineers, and contribute back to the shared design system rather than building one-off patterns.","Own end-to-end design for your product area; run discovery and usability sessions; contribute components to the NovaCorp design system; facilitate design critique; ensure accessibility standards are met before handover.","Figma; interaction and visual design; design systems; user research and usability testing; prototyping; WCAG 2.2 accessibility; portfolio demonstrating shipped B2B work.","06/22/2026","10/13/2026","Yes"
"NC-DSN-4002","UX Researcher","Design","Bengaluru","Contract","Mid","INR 14,00,000 - 20,00,000","A twelve month contract role supporting the NovaCorp research practice through a period of heavy discovery work. You will run studies across three product areas and help build the insight repository the whole company uses.","Plan and run generative and evaluative studies; recruit and schedule participants; synthesise findings into actionable insight; maintain the research repository; present findings to product and leadership.","Qualitative research methods; usability testing; survey design; participant recruitment; synthesis and storytelling; Figma or Miro; basic quantitative analysis.","07/15/2026","09/18/2026","Yes"
"NC-SAL-5001","Enterprise Account Executive","Sales and Marketing","Mumbai","Full-time","Senior","INR 25,00,000 - 35,00,000 plus commission","Sell the NovaCorp platform into large enterprise accounts across western India. This is a consultative, multi-stakeholder sale with an average cycle of six to nine months, supported by solution consulting, marketing and a named customer success partner.","Own a named enterprise territory and quarterly quota; build and maintain pipeline; run discovery and value assessments; coordinate solution consulting and legal through the deal cycle; forecast accurately in the weekly commit call.","Enterprise B2B SaaS sales; multi-stakeholder deal management; value selling; CRM discipline in Dynamics 365 or Salesforce; commercial negotiation; presentation skills.","07/01/2026","10/30/2026","Yes"
"NC-SAL-5002","Digital Marketing Specialist","Sales and Marketing","Noida","Full-time","Mid","INR 12,00,000 - 18,00,000","Run the paid and organic demand generation programmes that fill the NovaCorp pipeline. You will own campaign execution end to end and be measured on qualified pipeline created rather than impressions.","Plan and run paid search, paid social and email campaigns; own landing pages and conversion optimisation; manage the content calendar with product marketing; report on campaign attribution and pipeline contribution.","Google Ads; LinkedIn Campaign Manager; marketing automation platforms; SEO fundamentals; Google Analytics 4; copywriting; A/B testing; campaign reporting.","06/16/2026","10/06/2026","Yes"
"NC-PPL-6001","Technical Recruiter","People and Culture","Bengaluru","Full-time","Mid","INR 11,00,000 - 16,00,000","Join the talent acquisition team led by Aisha Nair and own hiring for two engineering groups. NovaCorp runs between eighty and one hundred twenty open roles at a time, so this is a high-volume, high-craft role where candidate experience is treated as a product.","Own end-to-end hiring for your assigned engineering teams; run intake meetings with hiring managers; source and engage passive candidates; manage the candidate experience through the Zava TalentHub portal; report on funnel health weekly.","Technical recruiting experience; sourcing on LinkedIn Recruiter and GitHub; structured interviewing; applicant tracking systems; stakeholder management; offer negotiation; hiring analytics.","07/18/2026","09/22/2026","Yes"
"NC-PPL-6002","Learning and Development Partner","People and Culture","Remote - India","Full-time","Mid","INR 13,00,000 - 19,00,000","A remote role designing and running the NovaCorp learning programmes, from the engineering academy through to manager development. You will work with department heads to identify capability gaps and build programmes that measurably close them.","Design and facilitate learning programmes; manage the learning stipend and vendor relationships; run the manager development curriculum; measure programme impact; support internal mobility conversations.","Instructional design; facilitation; learning management systems; capability frameworks; programme measurement; stakeholder consulting; coaching skills.","06/24/2026","10/16/2026","Yes"
"NC-ENG-1008","DevOps Intern","Engineering","Hyderabad","Internship","Entry","INR 40,000 - 60,000 per month","A six month internship on the platform engineering team for final-year students or recent graduates. You will work on real automation tasks with a mentor, not on a side project that gets thrown away at the end.","Automate repetitive platform tasks with scripts; help maintain CI pipelines; write and improve internal documentation; shadow the on-call rotation; present your internship project to the platform team.","Linux basics; Git; one scripting language such as Python or Bash; interest in cloud and automation; currently studying or recently graduated in a technical discipline.","07/24/2026","09/15/2026","Yes"
